(0.5399852439038247, 0.3117606259262989)
(0.5399852439038247, 0.3117606259262989)
(5.2106029369006856e-15, -9.025029024779613e-15)
(0, 2.2167347160878658e-247)
(4.382527940481781, 2.5302536861682117)
(-0.016801108761950116, 0.009700124666396089)
(8.062547924892961e-70, 1.396474264437356e-69)
(-0.0, -0.0)
(3.1035624633567243, 1.7918426236658225)
(0.0001597796135300923, -0.00027674640864784)
(-2.4611500512572033e-138, 4.262836933828266e-138)
(0.0, 0.0)
(-0.09391964801950367, -0.05422453406625534)
(-0.09391964801950367, -0.05422453406625534)
(-0.17742028097386708, 0.3073009409398842)
(0, 6.095013792767404e-09)
(-0.09454890816473686, -0.054587837580496026)
(0.08945959440968171, -0.05164952091402452)
(-0.011581253088416314, -0.020059318764450933)
(-2.6862214708246974e-45, -1.550890689283502e-45)
(-0.09462813298894299, -0.05463357805407793)
(-0.17016198375606598, 0.29472920138221675)
(0.17457141708088839, -0.3023665639333991)
(0, 4.967348441724196e-91)
(0.08559544190914065, 0.04941855142764732)
(0.08559544190914065, 0.04941855142764732)
(-0.15174135891076798, 0.262823743242995)
(0, -0.04215859984427891)
(0.2756649951556735, 0.15915525915928494)
(-0.2756716301572063, 0.15915908987920616)
(-0.0010042693493198718, -0.0017394455375061464)
(0.12165730831014397, 0.07023887970174286)
(-0.00043268907468576776, -0.00024981315374523805)
(0.1591591418939751, -0.2756717202494296)
(0.15953930630435875, -0.27633018432344586)
(0, -0.2356281313775912)
